Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
10.1341005,0,0x3C,0x0A,Write,ACK
10.134364,1,0x3D,0x48,Read,NAK
10.1347215,3,0x3C,0x0B,Write,ACK
10.1349375,4,0x3D,0x34,Read,NAK
10.135283,6,0x3C,0x0C,Write,ACK
10.1354995,7,0x3D,0x33,Read,NAK
10.135866,9,0x3C,0x01,Write,ACK
10.135961,9,0x3C,0x20,Write,ACK
10.136195,10,0x3C,0x02,Write,ACK
10.1364115,11,0x3D,0x03,Read,NAK
10.1367545,13,0x3C,0x02,Write,ACK
10.1368495,13,0x3C,0x00,Write,ACK
10.1370715,14,0x3C,0x00,Write,ACK
10.137288,15,0x3D,0x10,Read,NAK
10.137635,17,0x3C,0x00,Write,ACK
10.13773,17,0x3C,0x10,Write,ACK
10.137956,18,0x3C,0x00,Write,ACK
10.1381725,19,0x3D,0x10,Read,NAK
10.1385155,21,0x3C,0x00,Write,ACK
10.1386105,21,0x3C,0x10,Write,ACK
10.1388335,22,0x3C,0x01,Write,ACK
10.1389285,22,0x3C,0x20,Write,ACK
10.1391465,23,0x3C,0x02,Write,ACK
10.1393635,24,0x3D,0x00,Read,NAK
10.1397065,26,0x3C,0x02,Write,ACK
10.1398015,26,0x3C,0x01,Write,ACK
10.2646945,27,0x3C,0x02,Write,ACK
10.264911,28,0x3D,0x03,Read,NAK
10.265254,30,0x3C,0x02,Write,ACK
10.265349,30,0x3C,0x01,Write,ACK
10.265583,31,0x3C,0x03,Write,ACK
10.265804,32,0x3D,0x01,Read,ACK
10.265901,32,0x3D,0x00,Read,NAK
10.266252,34,0x3C,0x07,Write,ACK
10.266469,35,0x3D,0x00,Read,ACK
10.2665665,35,0x3D,0x76,Read,NAK
10.2669135,37,0x3C,0x05,Write,ACK
10.2671305,38,0x3D,0xFE,Read,ACK
10.267228,38,0x3D,0x9E,Read,NAK
10.267575,40,0x3C,0x03,Write,ACK
10.267792,41,0x3D,0x01,Read,ACK
10.2678895,41,0x3D,0x00,Read,NAK
10.268242,43,0x3C,0x07,Write,ACK
10.268459,44,0x3D,0x00,Read,ACK
10.2685565,44,0x3D,0x76,Read,NAK
10.2689095,46,0x3C,0x05,Write,ACK
10.2691265,47,0x3D,0xFE,Read,ACK
10.269224,47,0x3D,0x9E,Read,NAK
10.9905595,49,0x3C,0x02,Write,ACK
10.990804,50,0x3D,0x03,Read,NAK
10.9911665,52,0x3C,0x02,Write,ACK
10.9912615,52,0x3C,0x01,Write,ACK
10.9914915,53,0x3C,0x03,Write,ACK
10.9917125,54,0x3D,0x01,Read,ACK
10.99181,54,0x3D,0x02,Read,NAK
10.9921605,56,0x3C,0x07,Write,ACK
10.992378,57,0x3D,0x00,Read,ACK
10.992475,57,0x3D,0x78,Read,NAK
10.992822,59,0x3C,0x05,Write,ACK
10.993039,60,0x3D,0xFE,Read,ACK
10.9931365,60,0x3D,0x9E,Read,NAK
10.9934835,62,0x3C,0x03,Write,ACK
10.9937005,63,0x3D,0x01,Read,ACK
10.993798,63,0x3D,0x02,Read,NAK
10.994151,65,0x3C,0x07,Write,ACK
10.994368,66,0x3D,0x00,Read,ACK
10.9944655,66,0x3D,0x78,Read,NAK
10.994818,68,0x3C,0x05,Write,ACK
10.995035,69,0x3D,0xFE,Read,ACK
10.9951325,69,0x3D,0x9E,Read,NAK
11.668305,71,0x3C,0x02,Write,ACK
11.6685415,72,0x3D,0x03,Read,NAK
11.6688965,74,0x3C,0x02,Write,ACK
11.6689915,74,0x3C,0x01,Write,ACK
11.6692215,75,0x3C,0x03,Write,ACK
11.669442,76,0x3D,0x00,Read,ACK
11.6695395,76,0x3D,0xFF,Read,NAK
11.6698905,78,0x3C,0x07,Write,ACK
11.6701075,79,0x3D,0x00,Read,ACK
11.670205,79,0x3D,0x79,Read,NAK
11.670552,81,0x3C,0x05,Write,ACK
11.670769,82,0x3D,0xFE,Read,ACK
11.6708665,82,0x3D,0x9F,Read,NAK
11.6712135,84,0x3C,0x03,Write,ACK
11.6714305,85,0x3D,0x00,Read,ACK
11.671528,85,0x3D,0xFF,Read,NAK
11.6718805,87,0x3C,0x07,Write,ACK
11.6720975,88,0x3D,0x00,Read,ACK
11.672195,88,0x3D,0x79,Read,NAK
11.672548,90,0x3C,0x05,Write,ACK
11.672765,91,0x3D,0xFE,Read,ACK
11.6728625,91,0x3D,0x9F,Read,NAK
12.3455605,93,0x3C,0x02,Write,ACK
12.3458085,94,0x3D,0x03,Read,NAK
12.346171,96,0x3C,0x02,Write,ACK
12.3462665,96,0x3C,0x01,Write,ACK
12.346496,97,0x3C,0x03,Write,ACK
12.346717,98,0x3D,0x01,Read,ACK
12.3468145,98,0x3D,0x00,Read,NAK
12.3471655,100,0x3C,0x07,Write,ACK
12.3473825,101,0x3D,0x00,Read,ACK
12.34748,101,0x3D,0x78,Read,NAK
12.347827,103,0x3C,0x05,Write,ACK
12.3480435,104,0x3D,0xFE,Read,ACK
12.348141,104,0x3D,0xA2,Read,NAK
12.3484885,106,0x3C,0x03,Write,ACK
12.3487055,107,0x3D,0x01,Read,ACK
