Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.051257,0,0x3C,0x03,Write,ACK
0.0559315,1,0x3D,0x01,Read,ACK
0.058083,1,0x3D,0x18,Read,ACK
0.0602335,1,0x3D,0x00,Read,ACK
0.0623845,1,0x3D,0xD6,Read,ACK
0.0645355,1,0x3D,0xFF,Read,ACK
0.0666865,1,0x3D,0x0D,Read,NAK
0.1246015,2,0x3C,0x03,Write,ACK
0.1292765,3,0x3D,0x01,Read,ACK
0.1314275,3,0x3D,0x1F,Read,ACK
0.133578,3,0x3D,0x00,Read,ACK
0.1357295,3,0x3D,0xDC,Read,ACK
0.1378805,3,0x3D,0xFF,Read,ACK
0.140031,3,0x3D,0x0E,Read,NAK
0.197941,4,0x3C,0x03,Write,ACK
0.2026165,5,0x3D,0x01,Read,ACK
0.204767,5,0x3D,0x20,Read,ACK
0.2069175,5,0x3D,0x00,Read,ACK
0.2090685,5,0x3D,0xDB,Read,ACK
0.211219,5,0x3D,0xFF,Read,ACK
0.213369,5,0x3D,0x15,Read,NAK
0.271283,6,0x3C,0x03,Write,ACK
0.2759585,7,0x3D,0x01,Read,ACK
0.278109,7,0x3D,0x2A,Read,ACK
0.2802605,7,0x3D,0x00,Read,ACK
0.282411,7,0x3D,0xD5,Read,ACK
0.2845615,7,0x3D,0xFF,Read,ACK
0.2867125,7,0x3D,0x18,Read,NAK
0.3446265,8,0x3C,0x03,Write,ACK
0.3493015,9,0x3D,0x01,Read,ACK
0.3514525,9,0x3D,0x2A,Read,ACK
0.3536035,9,0x3D,0x00,Read,ACK
0.3557535,9,0x3D,0xD5,Read,ACK
0.357905,9,0x3D,0xFF,Read,NAK
0.3598165,9,0x3D,0x0C,Read,ACK
0.4179725,10,0x3C,0x03,Write,ACK
0.422648,11,0x3D,0x01,Read,ACK
0.424799,11,0x3D,0x1D,Read,ACK
0.42695,11,0x3D,0x00,Read,ACK
0.4291005,11,0x3D,0xB9,Read,ACK
0.431251,11,0x3D,0xFE,Read,ACK
0.4913175,12,0x3C,0x03,Write,ACK
0.495993,13,0x3D,0x01,Read,ACK
0.4981435,13,0x3D,0x1F,Read,ACK
0.5002945,13,0x3D,0x00,Read,ACK
0.506508,14,0x7F,0x77,Read,NAK
0.5646625,15,0x3C,0x03,Write,ACK
0.5693375,16,0x3D,0x01,Read,ACK
0.571489,16,0x3D,0x22,Read,ACK
0.5734005,16,0x3D,0x00,Read,ACK
0.5755515,16,0x3D,0x52,Read,NAK
0.5777025,16,0x3D,0x7F,Read,ACK
0.579853,16,0x3D,0x74,Read,ACK
0.638005,17,0x3C,0x03,Write,ACK
0.64268,18,0x3D,0x01,Read,ACK
0.6448315,18,0x3D,0x29,Read,ACK
0.646982,18,0x3D,0x00,Read,ACK
0.649133,18,0x3D,0x9A,Read,ACK
0.651284,18,0x3D,0xFE,Read,ACK
0.6534345,18,0x3D,0xE9,Read,NAK
0.711348,19,0x3C,0x03,Write,ACK
0.716023,20,0x3D,0x01,Read,ACK
0.718174,20,0x3D,0x2B,Read,ACK
0.7203245,20,0x3D,0x00,Read,ACK
0.7224755,20,0x3D,0x90,Read,ACK
0.724626,20,0x3D,0xFE,Read,ACK
0.726777,20,0x3D,0xE2,Read,NAK
0.7846905,21,0x3C,0x03,Write,ACK
0.7893665,22,0x3D,0x01,Read,ACK
0.791517,22,0x3D,0x27,Read,ACK
0.7936685,22,0x3D,0x00,Read,ACK
0.795819,22,0x3D,0x89,Read,ACK
0.7979695,22,0x3D,0xFE,Read,ACK
0.8001205,22,0x3D,0xE0,Read,NAK
0.858034,23,0x3C,0x03,Write,ACK
0.8627095,24,0x3D,0x01,Read,ACK
0.8648605,24,0x3D,0x26,Read,ACK
0.8670115,24,0x3D,0x00,Read,ACK
0.8691625,24,0x3D,0x81,Read,ACK
0.8713135,24,0x3D,0xFE,Read,ACK
0.8734645,24,0x3D,0xD7,Read,NAK
0.9313795,25,0x3C,0x03,Write,ACK
0.9360545,26,0x3D,0x01,Read,ACK
0.938206,26,0x3D,0x22,Read,ACK
0.940356,26,0x3D,0x00,Read,ACK
0.9425075,26,0x3D,0x8A,Read,ACK
0.944658,26,0x3D,0xFE,Read,ACK
0.9468085,26,0x3D,0xEC,Read,NAK
1.0047235,27,0x3C,0x03,Write,ACK
1.0093995,28,0x3D,0x01,Read,ACK
1.01155,28,0x3D,0x24,Read,ACK
1.013701,28,0x3D,0x00,Read,ACK
1.0158515,28,0x3D,0x8A,Read,ACK
1.0180025,28,0x3D,0xFE,Read,ACK
1.020153,28,0x3D,0xD7,Read,NAK
1.0780645,29,0x3C,0x03,Write,ACK
1.0827405,30,0x3D,0x01,Read,ACK
1.084891,30,0x3D,0x20,Read,ACK
1.087042,30,0x3D,0x00,Read,ACK
1.0889535,30,0x3D,0x42,Read,ACK
1.091105,30,0x3D,0x7F,Read,ACK
1.0932555,30,0x3D,0x6A,Read,ACK
1.151409,31,0x3C,0x03,Write,ACK
1.1560845,32,0x3D,0x01,Read,ACK
1.1582355,32,0x3D,0x1C,Read,ACK
1.1601475,32,0x3D,0x00,Read,ACK
1.1622985,32,0x3D,0x43,Read,ACK
1.164449,32,0x3D,0x7F,Read,ACK
1.1666005,32,0x3D,0x69,Read,NAK
1.224751,33,0x3C,0x03,Write,ACK
1.229426,34,0x3D,0x01,Read,ACK
1.2315765,34,0x3D,0x1D,Read,ACK
1.2337275,34,0x3D,0x00,Read,ACK
1.235878,34,0x3D,0x84,Read,ACK
1.238029,34,0x3D,0xFE,Read,ACK
1.2401795,34,0x3D,0xD3,Read,NAK
1.2980935,35,0x3C,0x03,Write,ACK
1.302531,36,0x3E,0x00,Write,NAK
1.304682,36,0x3E,0x0F,Write,NAK
1.306594,36,0x3E,0x00,Write,ACK
1.308745,36,0x3E,0x20,Write,NAK
1.3108965,36,0x3E,0xBF,Write,NAK
1.3130475,36,0x3E,0x35,Write,ACK
1.3714415,37,0x3C,0x03,Write,ACK
1.3758785,38,0x1E,0x00,Write,NAK
