Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.0567015,0,0x3C,0x03,Write,ACK
0.0613765,1,0x3D,0xFF,Read,ACK
0.0635275,1,0x3D,0x62,Read,ACK
0.065678,1,0x3D,0x00,Read,ACK
0.067829,1,0x3D,0xE7,Read,ACK
0.0699795,1,0x3D,0xFF,Read,ACK
0.0721305,1,0x3D,0x9C,Read,NAK
0.1300425,2,0x3C,0x03,Write,ACK
0.1347175,3,0x3D,0xFF,Read,ACK
0.1368685,3,0x3D,0x62,Read,ACK
0.139019,3,0x3D,0x00,Read,ACK
0.14117,3,0x3D,0xE7,Read,ACK
0.1433205,3,0x3D,0xFF,Read,ACK
0.1454715,3,0x3D,0x9C,Read,NAK
0.2033845,4,0x3C,0x03,Write,ACK
0.20806,5,0x3D,0xFF,Read,ACK
0.21021,5,0x3D,0x57,Read,ACK
0.212361,5,0x3D,0x00,Read,ACK
0.214512,5,0x3D,0xEB,Read,ACK
0.2166625,5,0x3D,0xFF,Read,ACK
0.2188135,5,0x3D,0xA3,Read,NAK
0.276726,6,0x3C,0x03,Write,ACK
0.2814015,7,0x3D,0xFF,Read,ACK
0.283552,7,0x3D,0x53,Read,ACK
0.285703,7,0x3D,0x00,Read,ACK
0.2921555,8,0xFF,0xA3,Read,NAK
0.3500695,9,0x3C,0x03,Write,ACK
0.3547445,10,0x3D,0xFF,Read,ACK
0.3568955,10,0x3D,0x50,Read,ACK
0.3590465,10,0x3D,0x00,Read,ACK
0.361197,10,0x3D,0xF2,Read,ACK
0.363348,10,0x3D,0xFF,Read,ACK
0.365499,10,0x3D,0xA4,Read,NAK
0.423411,11,0x3C,0x03,Write,ACK
0.4280865,12,0x3D,0xFF,Read,ACK
0.4302375,12,0x3D,0x49,Read,ACK
0.432388,12,0x3D,0x00,Read,ACK
0.434539,12,0x3D,0xF5,Read,ACK
0.4366895,12,0x3D,0xFF,Read,ACK
0.438841,12,0x3D,0x9F,Read,NAK
0.496756,13,0x3C,0x03,Write,ACK
0.5014315,14,0x3D,0xFF,Read,ACK
0.5035825,14,0x3D,0x3D,Read,ACK
0.505734,14,0x3D,0x00,Read,ACK
0.5078845,14,0x3D,0xFD,Read,NAK
0.5097965,14,0x3D,0x7F,Read,NAK
0.5119475,14,0x3D,0x4F,Read,NAK
0.5701015,15,0x3C,0x03,Write,ACK
0.5747775,16,0x3D,0xFF,Read,ACK
0.576928,16,0x3D,0x41,Read,ACK
0.5790785,16,0x3D,0x00,Read,ACK
0.5812295,16,0x3D,0xFD,Read,ACK
0.5833805,16,0x3D,0xFF,Read,ACK
0.5855315,16,0x3D,0x9C,Read,NAK
0.6434455,17,0x3C,0x03,Write,ACK
0.648121,18,0x3D,0xFF,Read,ACK
0.650272,18,0x3D,0x3D,Read,ACK
0.652423,18,0x3D,0x00,Read,ACK
0.6545735,18,0x3D,0xFB,Read,ACK
0.656724,18,0x3D,0xFF,Read,ACK
0.658875,18,0x3D,0x92,Read,NAK
0.71679,19,0x3C,0x03,Write,ACK
0.721465,20,0x3D,0xFF,Read,ACK
0.7236165,20,0x3D,0x46,Read,ACK
0.725767,20,0x3D,0x00,Read,ACK
0.727918,20,0x3D,0xF3,Read,ACK
0.730069,20,0x3D,0xFF,Read,ACK
0.73222,20,0x3D,0x80,Read,NAK
0.7901325,21,0x3C,0x03,Write,ACK
0.794808,22,0x3D,0xFF,Read,ACK
0.7969585,22,0x3D,0x51,Read,ACK
0.799109,22,0x3D,0x00,Read,ACK
0.8012595,22,0x3D,0xED,Read,ACK
0.8034105,22,0x3D,0xFF,Read,ACK
0.8055615,22,0x3D,0x73,Read,NAK
0.8634735,23,0x3C,0x03,Write,ACK
0.8681485,24,0x3D,0xFF,Read,ACK
0.870299,24,0x3D,0x51,Read,ACK
0.8724495,24,0x3D,0x00,Read,ACK
0.8746,24,0x3D,0xE1,Read,ACK
0.876751,24,0x3D,0xFF,Read,ACK
0.8789015,24,0x3D,0x6B,Read,NAK
0.936814,25,0x3C,0x03,Write,ACK
0.9414895,26,0x3D,0xFF,Read,ACK
0.9436405,26,0x3D,0x49,Read,ACK
0.945791,26,0x3D,0x00,Read,ACK
0.947942,26,0x3D,0xE8,Read,ACK
0.9500925,26,0x3D,0xFF,Read,ACK
0.9522435,26,0x3D,0x6C,Read,NAK
1.010155,27,0x3C,0x03,Write,ACK
